// game list translation template for FB Alpha version 0x029737

// codepage=936


8ballact	抢8撞球(大金刚转换版)
fpoint1	闪点方块(第1套,日版,FD1094317-0127A)
fpointd	闪点方块(第2套,日版,FD1094317-0127A解密版)
fpoint	闪点方块(第2套,日版,FD1094317-0127A)
fpointbl	闪点方块(世界版,盗版)
md_flashb	回到原点(欧版,修正版A)
md_flashbj	回到原点(日版)
md_flashbu	回到原点-身份之谜(美版)
md_flashbu1	回到原点-身份之谜(美版,替换版)
flashgal	霹雳娇娃(第1套)
flashgala	霹雳娇娃(第2套)
sms_fpoint	闪点方块(韩版)
flicky	小鸟妃奇(128k版,系统2,315-5051)
flickyg	小鸟妃奇(128k版,系统2,315-5051,图形替换)
flickys2	小鸟妃奇(128k版,系统2,未加密版)
flickys2g	小鸟妃奇(128k版,系统2,未加密版,图形替换)
flickyo	小鸟妃奇(64k版,系统1,315-5051,第1套)
flickys1	小鸟妃奇(64k版,系统1,315-5051,第2套)
md_flicky	小鸟妃奇(欧版,美版)
sg1k_flickya	小鸟妃奇(日版,v0)
sg1k_flicky	小鸟妃奇(日版,v1)
sg1k_flickyt	小鸟妃奇(日版,v0)
md_flink	弗兰克大冒险(欧版)
sg1k_segaflipt	弹珠台(台湾版)
cv_flipslip	半圆打砖块
md_flux	波动(欧版)
flytiger	飞虎队(第1套)
flytigera	飞虎队(第2套)
footchmp	冠军杯足球赛(世界版)
fbfrenzy	疯狂橄榄球(NGM-034)(NGH-034)
gg_foreman	福尔曼的实况拳击(世界版)
md_foreman	福尔曼的实况拳击(世界版)
sms_forgottn	失落的世界(欧版,巴西版,澳洲版)
forgottnua	失落的世界(美版,B-Board88618B-2,修正版A)
forgottnuaa	失落的世界(美版,B-Board88618B-2,修正版AA)
forgottnu1	失落的世界(美版,B-Board88618B-2,修正版C)
forgottnu	失落的世界(美版,B-Board88621B-2,修正版C)
forgottna	失落的世界(世界版)
md_forgottn1	失落的世界(世界版)
forgottn	失落的世界(世界版,较新版)
md_forgottn	失落的世界(世界版,v1.1)
pce_fsoccr90	足球阵形-Human杯'90
pce_fsoccer	足球阵形-日甲联盟
md_formula1	一级方程式(美版)
md_fastfur5	速度与激情5(俄罗斯版)
cv_fortune	财富制造者
cv_fracfevr	狂热分数
md_bighurt	法兰克托马斯棒球赛(欧版,美版)
gg_bighurt	法兰克托马斯棒球赛(美版)
cv_ffreddy	狂乱蟑螂
gg_fray	法拉亚-修行篇(日版)
gg_fredcoupj	弗雷德·卡普雷斯的高尔夫赛(日版)
gg_fredcoup	弗雷德·卡普雷斯的高尔夫赛(美版)
freeze	太空迷宫
cv_frenzy	惊狂记
cv_frenzya	惊狂记(替换版1)
cv_frenzya2	惊狂记(替换版2)
frogf	青蛙过街(Falcon盗版)
frogg	青蛙过街(小蜜蜂硬件)
froggers	青蛙过街
cps1frog	小青蛙(CPS-1)
ngfrog	小青蛙(NeoGeo)
pgmfrog	小青蛙(PGM)
cv_frogger	青蛙过街
frogger	青蛙过街
froggermc	青蛙过街(月球登陆艇硬件)
froggrs	青蛙过街(紧急起飞硬件)
froggers1	青蛙过街(Sega第1套)
froggers2	青蛙过街(Sega第2套)
md_frogger	青蛙过街(美版)
gg_frogger	青蛙过街(美版,工程版)
cv_frogger2	青蛙过街II-三重陷阱!
gg_slamdunk	灌篮高手-胜利的开始5(日版)
md_slamdunk	灌篮高手-正面的对决(日版)
cv_frontlin	前线
cv_frontlina	前线(替换版)
fjbuster	富士山斗士(日版)
fullthrl	最高时速(日版)
md_funngame	玩转游戏(欧版)
md_funngameu	玩转游戏(美版)
md_funcar	玩转汽车拉力赛(美版,工程版)
funkybee	疯狂蜜蜂
funkybeeb	疯狂蜜蜂(盗版,较难)
fnkyfish	疯狂的鱼
funkyjetj	飞拳小子(日版,修正版2)
funkyjeta	飞拳小子(世界)
funkyjet	飞拳小子(世界版,修正版1)
funybubl	性感谜球回路
funybublc	性感谜球回路(Comad版本)
md_funnywld	滑稽世界&神枪手(美版)
sms_pitpot	不可思议的城堡-陷阱小子(日版,MyCard)
sms_pitpot1	不可思议的城堡-陷阱小子(日版,海盗版?)
md_nadia	蓝宝石之谜(日版)
pce_alice	爱丽丝梦游仙境
md_futbol	阿根廷足球98-激情人群(海盗版)
futspy	未来间谍机
sms_gloc	空战神兵(欧版,巴西版,韩版)
gg_gloc	空战神兵(欧版,美版,巴西版)
gg_glocj1	空战神兵(日版,v0)
gg_glocj	空战神兵(日版,v1)
glocu	空战神兵(美版)
md_gloc	空战神兵(世界版)
gloc	空战神兵(世界版)
md_glocp	空战神兵(世界版,工程版)
glocr360	空战神兵R360
gijoej	特种部队(日版,JAA)
gijoeu	特种部队(美版,UAB)
gijoe	特种部队(世界版,EAB,第1套)
gijoea	特种部队(世界版,EB8,工程版?)
md_gadget	双胞小飞机(美版)
sms_gaegujan	调皮的喜鹊(韩版)
pce_gaiflame	炎之大地
gaia	征战者
pce_gaiamons	大地纹章
gaiapols	黄金鹰之剑(版本EAF)
gaiapolsj	黄金鹰之剑(版本JAF)
gaiapolsu	黄金鹰之剑(版本UAF)
md_gaiares	加亚雷斯战机(日版,美版)
sms_gground	领土扩张(欧版,巴西版)
sms_ggroundp	领土扩张(欧版,工程版)
md_gground1p	领土扩张(美版,工程版)
md_gground	领土扩张(世界版)
sms_galactpr	银河保护者(日版)
gwarrior	银河勇士
pce_galaga88	大蜜蜂'88
tg_galaga90	大蜜蜂'90
gg_galaga91	大蜜蜂'91(日版)
galagamf	大蜜蜂(Midway第1套快速射击修改版)
galagamw	大蜜蜂(Midway第1套)
galagamk	大蜜蜂(Midway第2套)
galaga	大蜜蜂(Namco修正版B)
galagao	大蜜蜂(Namco)
sg1k_galaga	大蜜蜂(台湾版)
gg_galaga2	大蜜蜂2(欧版)
neogalag	大蜜蜂演示版(第1套)
neogalaga	大蜜蜂演示版(第2套)
md_galahad	加拉哈德(欧版,美版)
cv_galaxian	小蜜蜂
cv_galaxiana	小蜜蜂(替换版)
galaxbsf	小蜜蜂(盗版,第1套)
galaxianbl	小蜜蜂(盗版,第2套)
galaxiani	小蜜蜂(Irem)
sms_galaxian	小蜜蜂(韩版)
galaxianm	小蜜蜂(Midway第1套)
galaxianmo	小蜜蜂(Midway第2套)
galaxian	小蜜蜂(Namco第1套)
galaxiana	小蜜蜂(Namco第2套)
galaxrf	小蜜蜂(RecreativosFrancoS.A.西班牙盗版)
galaxiant	小蜜蜂(Taito)
galaxrfgg	小蜜蜂增长型(RecreativosFrancoS.A.西班牙盗版)
galap4	小蜜蜂4(修改版)
galapx	小蜜蜂X(月球异型修改版)
tst_galx	小蜜蜂测试版
galturbo	小蜜蜂极速版(超级小蜜蜂修改版)
galemp	银河帝国(盗版?)
galaxyfg	银河快打-宇宙战士
sms_gforce	银河战机(欧版,巴西版)
sms_gforceu	银河战机(美版)
gforce2	银河战机2
gforce2j	银河战机2(日版)
gforce2ja	星际大争霸2(日版,修正版A)
gforce2sd	银河战机2(超级豪华型)
md_gforce2a	银河战机II(世界版)
md_gforce2	银河战机II(世界版,修正版B)
gallag	大蜜蜂
gallop	雷驰-武装警察(日版)
galmedes	高米达斯星战(日版)
galhustl	加尔斯台球
galpanic	写真天蚕变(未保护版)
galpani4	写真天蚕变4(日版)
galpani4k	写真天蚕变4(韩版)
galpanis	写真天蚕变S-特别版(欧版)
galpanisj	写真天蚕变S-特别版(日版)
galpanisk	写真天蚕变S-特别版(韩版)
galpans2a	写真天蚕变S2(Asia)
galpans2	写真天蚕变S2(Japan)
galpans3	写真天蚕变S3(Japan)
galpansu	写真天蚕变SU(Korea)
galspnbl	少女弹珠台
gg_gamble	赌博惊魂(日版)
gg_gambler	自己中心派(日版)
md_gambler	自己中心派-片山正幸的麻将道场(日版)
sms_gamebox	游戏盒系列极限运动(巴西版)
md_ggenie1	游戏精灵(欧版,美版)
md_ggenie	游戏精灵(欧版,美版,修正版A)
md_gamenko	桌面趣味游戏之家(日版)
md_gameto	游戏图书馆(日版,修正版A)
ginkun	前代末间大爆笑
gg_ggorby	幸运的戈尔比(日版)
pce_ganbgolf	加油!高尔夫少年
gangonta	潜水摄影2(日版)
ganbare	加油!马林君(日籍舰艇2K0411)
gbusters	疯狂警察(第1套)
gbustersa	疯狂警察(第2套)
sms_robocop	钢铁机械战警(韩版)
sms_gangster	流氓城镇(欧版,美版,巴西版)
ganryu	武藏严流记
gardia	加尔迪亚(317-0006)
md_garfield	加菲猫的冒险(欧版,美版)
gg_garfield	加菲猫的冒险(欧版,美版)
md_gargoyle	魔界使者(美版)
garogun	韩语问答(韩版)
garoubl	饿狼传说-狼之烙印(盗版)
garou	饿狼传说-狼之烙印(NGM-2530)
garouh	饿狼传说-狼之烙印(NGM-2530)(NGH-2530)
garoup	饿狼传说-狼之烙印(工程版)
md_garou	饿狼传说-宿命之战(日版)
md_garou2	饿狼传说2-新的战斗(日版)
gg_garousp	饿狼传说特别版(日版)
md_sbtank	加里·积臣的超级作战坦克-海外战争(美版)
garuka	饿流祸(日版版本W)
garyoret	卧龙列传(日版)
gatedoom1	暗黑封印-毁灭之门(美版修正版1)
gatedoom	暗黑封印-毁灭之门(美版修正版4)
cv_apshai	阿帕莎之路
gauntlet2pg1	圣铠(2人版,德国版,修正版1)
gauntlet2pg	圣铠(2人版,德国版,修正版4)
gauntlet2pj2	圣铠(2人版,日版,修正版2)
gauntlet2pj	圣铠(2人版,日版,修正版5)
gauntlet2pr3	圣铠(2人版,修正版3)
gauntlet2p	圣铠(2人版,修正版6)
sms_gauntlet	圣铠(欧版,巴西版)
gauntletg	圣铠(德国版,修正版10)
gauntletgr3	圣铠(德国版,修正版3)
gauntletgr6	圣铠(德国版,修正版6)
gauntletgr8	圣铠(德国版,修正版8)
gauntletj12	圣铠(日版,修正版12)
gauntletj	圣铠(日版,修正版13)
md_gauntlt4j	圣铠(日版)
gauntletr1	圣铠(修正版1)
gauntlet	圣铠(修正版14)
gauntletr2	圣铠(修正版2)
gauntletr4	圣铠(修正版4)
gauntletr5	圣铠(修正版5)
gauntletr7	圣铠(修正版7)
gauntletr9	圣铠(修正版9)
gauntlets	圣铠(西班牙版,修正版15)
gaunt2	圣铠II
gaunt22pg	圣铠II(2人版,德国版)
gaunt22p1	圣铠II(2人版,修正版1)
gaunt22p	圣铠II(2人版,修正版2)
gaunt2g	圣铠II(德国版)
md_gauntlt4a	圣铠IV(欧版,美版,199308)
md_gauntlt4	圣铠IV(欧版,美版,199309)
gg_gearstad	激斗棒球(日版)
gg_gearstah	激斗棒球平成版(日版)
gg_gearwork	齿轮工厂(美版)
geebee	吉蜂弹珠台
geebeeg	吉蜂弹珠台(Gremlin)
sms_punpun	怒火中烧(版本20151031b?)
pce_gekisboy	激写男孩
md_gemfire	皇家血裔(美版)
gemini	双子之翼(日版)
geminib	双子之翼(世界版,盗版)
md_gems	GEMS音频驱动v2.8
md_genchaos	大混战(欧版,美版)
md_genchaosj	大混战(日版)
md_genelost	失落的继承者(欧版,美版)
md_genghis2	元朝秘史II-苍狼与白鹿(美版)
genix	魔鬼气泡牛仔版
pce_genjitsu	电脑小奇侠
pce_genpei	源平讨魔传
genpeitd	源平讨魔传
pce_genpemak	源平讨魔传卷之二
gensitou	原始岛
md_georgeko	乔治·福尔曼的拳击击倒赛(欧版)
sms_georgeko	乔治·福尔曼的拳击击倒赛(欧版,巴西版)
gg_georgeko	乔治·福尔曼的拳击击倒赛(欧版,美版)
md_georgekou	乔治·福尔曼的拳击击倒赛(美版)
geostorm	钢炮部队2(日版)
sms_gerald	吉拉尔登(巴西版)
getstarb1	星球守护者(盗版,第1套)
getstarb2	星球守护者(盗版,第2套)
getstarj	星球守护者(日版)
gg_ggaleste	GG阿雷斯特战机(日版)
gg_ggdora	GG哆啦A梦-野良之介的野望(日版)
gg_ggport	GG人物肖像-陈佩(日版)
gg_ggport1	GG人物肖像-结城晶(日版)
ghostbi	捉鬼敢死队(片头演示)
sms_ghosth	鬼屋(欧版,美版,巴西版)
sms_ghosthc	鬼屋(欧版,美版,巴西版,世嘉卡)
sms_ghosthj	鬼屋(日版,MyCard)
sms_ghosthj1	鬼屋(日版,海盗版?)
sms_ghosthk	鬼屋(韩版)
sms_ghosthcp	鬼屋(世嘉卡,工程版)
ghostmun	躲鬼精灵
gpilotsh	魔鬼飞行员-幽灵战区(NGH-020)(美版)
gpilots	魔鬼飞行员-幽灵战区(NGM-020)(NGH-020)
sms_ghostbst	捉鬼敢死队(欧版,美版,韩版)
md_ghostbst1	捉鬼敢死队(世界版)
md_ghostbst	捉鬼敢死队(世界版,v1.1)
ghostlop	鬼精灵投球手(工程版)
gmgalax	咀嚼幽灵(盗版)
gngbl	魔界村(含十字架盗版)
gngbla	魔界村(盗版,较难)
gngblita	魔界村(意大利盗版,较难)
gngprot	魔界村(工程版)
gngt	魔界村(美版)
gngc	魔界村(世界版修正版C)
gng	魔界村(世界版?第1套)
gnga	魔界村(世界版?第2套)
md_ghouls1	大魔界村(欧版,美版)
sms_ghouls	大魔界村(欧版,美版,巴西版)
md_ghouls	大魔界村(欧版,美版,韩版,修正版A)
ghoulsu	大魔界村(美版)
sms_ghoulsd	大魔界村(美版,演示版)
ghouls	大魔界村(世界版)
ghoxj	打砖块飞行台(操纵杆)
ghox	打砖块飞行台(蜘蛛)
gigawinga	雷鸟之翼(990222亚洲版)
gigawingb	雷鸟之翼(990222巴西版)
gigawingh	雷鸟之翼(990222西班牙版)
gigawingd	雷鸟之翼(990222美版凤凰版)
gigawing	雷鸟之翼(990222美版)
gigawingjd	雷鸟之翼(990223日版凤凰版)
gigawingj	雷鸟之翼(990223日版)
gigaman2	洛克人2-力量对决(盗版)
gigandes	潜艇卫星
gigandesa	潜艇卫星(早期版)
ginganin	银河任侠传(第1套)
ginganina	银河任侠传(第2套)
gteikoku	银河帝国的反击
gteikokb	银河帝国的反击(盗版第1套)
gteikob2	银河帝国的反击(盗版第2套)
sg1k_girlgard	女子花园(日版)
sg1k_girlgardt	女子花园(台湾版)
md_gleylanc	光电领航员(日版)
sms_globald	地球防卫战(欧版,美版)
sms_globaldp	地球防卫战(欧版,美版,工程版)
yamagchi	丛林求生山口先生/决死探险求生山口君
goalx3	射门!射门!射门!
md_gods	异神战士(欧版)
md_godsj	异神战士(日版)
md_godsu	异神战士(美版)
md_godsup	异神战士(美版,工程版)
gg_godzilla	哥斯拉-怪兽大进击(日版)
sms_dumpmats	极恶同盟摔角松本(日版)
pce_chukatai	极乐!中华大仙
md_golden10	黄金10合1(非完整转储)
sms_goldnaxe	战斧(欧版,美版)
goldnaxe1d	战斧(第1套,世界版,FD1094317-0110解密版)
goldnaxe1	战斧(第1套,世界版,FD1094317-0110)
goldnaxe2	战斧(第2套,美版,8751317-0112)
goldnaxe3d	战斧(第3套,世界版,FD1094317-0120解密版)
goldnaxe3	战斧(第3套,世界版,FD1094317-0120)
goldnaxejd	战斧(第4套,日版,FD1094317-0121解密版)
goldnaxej	战斧(第4套,日版,FD1094317-0121)
goldnaxeud	战斧(第5套,美版,FD1094317-0122解密版)
goldnaxeu	战斧(第5套,美版,FD1094317-0122)
goldnaxe	战斧(第6套,美版,8751317-123A)
md_goldnaxe1	战斧(世界版)
md_goldnaxe	战斧(世界版,v1.1)
md_goldnax2	战斧II(世界版)
md_goldnax2p	战斧II(世界版,工程版)
md_goldnax3	战斧III(日版)
sms_gaxewarr	战斧勇士(欧版,美版,巴西版)
sms_golfaman	狂热高尔夫(欧版,巴西版)
sms_golfamanp	狂热高尔夫(工程版)
sg1k_golgo13	骷髅13(日版)
sms_golvell	高尔维流斯(欧版,美版)
pce_gomola	毛毛虫
imsorryj	大头课长捡金块(315-5110,日版)
md_goofy	高飞的疯狂之旅(美版)
cv_gorf	宇宙射击
gorkans	吃线汽车
gotcha	多彩迷你游戏节
plegends	豪血寺外传-最强传说(美版,版本95/06/20)
plegendsj	豪血寺外传-最强传说(日版,版本95/06/20)
powerinsj	豪血寺一族(日版)
md_gouketsu	豪血寺一族(日版)
pwrinst2j	豪血寺一族2(日版,版本94/04/08)
sms_gprider	摩托车锦标赛(欧版,巴西版)
gg_gprider	摩托车锦标赛(欧版,美版)
gpriderjs	摩托车锦标赛(日版,FD1094317-0161)
gpriderj	摩托车锦标赛(日版,FD1094317-0161)(双人版)
gg_gpriderj	摩托车锦标赛(日版)
gg_gpriderp	摩托车锦标赛(工程版,19940104)
gpriderus	摩托车锦标赛(美版,FD1094317-0162)
gprideru	摩托车锦标赛(美版,FD1094317-0162)(双人版)
gpriders	摩托车锦标赛(世界版,FD1094317-0163)
gprider	摩托车锦标赛(世界版,FD1094317-0163)(双人版)
sg1k_gpworlda	世界赛车大奖赛(日版,v0)
sg1k_gpworld	世界赛车大奖赛(日版,v1)
sg1k_gpworldt	世界赛车大奖赛(台湾版)
pce_gradius	宇宙巡航舰
gradius	宇宙巡航舰(日版,ROM版)
gradius2	宇宙巡航舰II-高弗的野望(日版新版)
gradius2a	宇宙巡航舰II-高弗的野望(日版旧版)
gradius2b	宇宙巡航舰II-高弗的野望(日版较旧版)
gradius3a	宇宙巡航舰III(亚洲版)
gradius3j	宇宙巡航舰III(日版,程序代码S)
gradius3js	宇宙巡航舰III(日版,程序代码S,分离版)
gradius3	宇宙巡航舰III(世界版,程序代码R)
md_gt5	GT赛车5(俄罗斯版)
md_granada1	格兰达战记(日版,美版)
md_granada	格兰达战记(日版,美版,v1.1)
md_grandslj	大满贯-网球锦标赛'92(日版)
md_grandsl	大满贯-网球锦标赛(欧版)
grasspin	安全旋转
gtmr2u	1000英里大师赛车2(95/05/18)
gtmre	1000英里大师赛车-进化模式(94/09/06)
gtmrusa	1000英里大师赛车-美国版(94/09/06)
sms_greatbas	非凡棒球(欧版,美版,巴西版)
sms_greatbasj	非凡棒球(日版,MyCard)
sms_greatbasj1	非凡棒球(日版,海盗版?)
sms_greatbsk	非凡篮球(世界版)
md_greatcirj	大马戏团之谜-米奇和米妮的魔幻冒险2(日版)
sms_greatftb	非凡足球(世界版)
sms_greatglf	非凡高尔夫(欧版,美版)~大师级高尔夫(日版)
sms_greatglf1	非凡高尔夫(欧版,美版,v1.0)
sms_greatglj	非凡高尔夫(日版)
sms_greatglk	非凡高尔夫(韩版)
sms_greatglfp	非凡高尔夫(工程版)
sms_greatice	非凡冰球(日版,美版)
gmahou	超级魔法大作战(000121日版)
sms_greatscr	非凡足球(欧版)
sms_greatscrc	非凡足球(欧版,世嘉卡)
sms_greatscrj	非凡足球(日版,MyCard)
sms_greatscrtw	非凡足球(台湾版)
sms_greattns	非凡网球(日版,MyCard)
sms_greatvol	非凡排球(欧版,美版,巴西版)
sms_greatvolj	非凡排球(日版)
md_ghw	超重量级拳击赛(欧版)
md_ghwj	超重量级拳击赛(日版)
md_ghwu	超重量级拳击赛(美版)
gberet	绿色兵团
gberetb	绿色兵团(盗版)
gg_greendog	格兰多(欧版,美版)
md_greendog	格兰多-荒岛历险记(欧版,美版)
gg_griffin	格里芬战车(日版)
grindstm	飞鹰风暴
grindstma	飞鹰风暴(较旧版)
md_grindst	飞鹰风暴(美版)
growlu	咆哮如雷(美版)
md_growl	咆哮如雷(美版)
growla	咆哮如雷(世界版)
growl	咆哮如雷(世界版,修正版1)
gryzor	魂斗罗(第1套)
gryzor1	魂斗罗(第2套)
grdian	星球守护者
grdnstrmg	守护风暴(德国版)
grdnstrm	守护风暴(横版,未加密版)
grdnstrmv	守护风暴(竖版)
grdians	电神魔傀II
gulfstrmm	海湾风暴(MediaShoji)
gulfstrm	海湾风暴(第1套)
gulfstrma	海湾风暴(第2套)
gulfstrmb	海湾风暴(第3套)
sg1k_gulkave	高尔卡威战机(日版)
sg1k_gulkavek	高尔卡威战机(韩版)
gumbo	美女方块
gunfront	枪之国度(世界版)
gunball	地狱英雄弹珠门(日版)
gundl94	机枪发牌人'94
gunfrontj	枪之国度(日版)
gunhohki	魔法警备队(日版)
gunsmokej	荒野大镖客(日版,851115)
sms_gunsmoke	荒野大镖客(韩版)
gunsmokeua	荒野大镖客(美版,851115,第1套)
gunsmokeub	荒野大镖客(美版,851115,第2套)
gunsmokeu	荒野大镖客(美版,860408)
gunsmoke	荒野大镖客(世界版,851115)
gunsmokeb	荒野大镖客(世界版,851115)(盗版)
gnbarich	彩京砖块物语
gunbirdj	武装飞鸟(日版)
gunbirdk	武装飞鸟(韩版)
gunbird	武装飞鸟(世界版)
gunbird2	武装飞鸟2
tg_gunboat	炮舰
gundhara	铳弹岚
gundharac	铳弹岚(中文版,盗版?)
gunforcej	钢炮部队-恐怖岛上的战火(日版)
gunforceu	钢炮部队-恐怖岛上的战火(美版)
gunforce	钢炮部队-恐怖岛上的战火(世界版)
gunforc2	钢炮部队2(美版)
pce_gunhed	机甲战机
pce_gunhedht	机甲战机-哈德森战机大会
gunnail	炮钉(28thMay.1992)
md_gunship	武装直升机(欧版)
md_gunstar	火枪英雄(欧版)
md_gunstarj	火枪英雄(日版)
gg_gunstar	火枪英雄(日版)
md_gunstarjs	火枪英雄(日版,样品)
md_gunstaru	火枪英雄(美版)
gururin	方块小人
gussun	冒险大挑战(日版)
cv_gustbust	阵风克星
gutsn	勇敢小护士-箔菌解谜(日版)
guwange	狱门山物语(日版,主版本99/06/24)
guwanges	狱门山物语(日版,特殊版本00/01/01)
sg1k_guzzler	水精灵(日版,OMV)
sg1k_guzzlert	水精灵(台湾版)
md_gynoug	翼人战士(欧版)
md_gynougj	翼人战士(日版)
gyrodine	战斗直升机
gyrodinet	战斗直升机(Taito公司授权)
cv_gyruss	太空射击战
gyrussb	太空射击战(盗版)
gyrussce	太空射击战(Centuri)
gyruss	太空射击战(Konami)
cv_hero	直升机紧急救援行动
sg1k_hero	直升机紧急救援行动(日版)
hachamfb	糊涂飞行员(19thSep.1991,未保护版,盗版雷龙转换版)
hachoo	破兆
sms_hajafuin	霸邪之封印(日版)
gg_halleyw	哈雷大战(欧版,美版,巴西版)
gg_halleywj	哈雷大战(日版)
hamaway	重锤出击(工程版)
hharryu	大力工头阿源君(美版)
hharry	大力工头阿源君(世界版)
pce_hanataka	射击天狗
hangon1	摩托车大赛
sms_hangon	摩托车大赛(欧版,巴西版,澳洲版)
sms_hangonc	摩托车大赛(欧版,巴西版,澳洲版,世嘉卡)
sms_hangonj	摩托车大赛(日版,MyCard)
hangon	摩托车大赛(修正版A)
hangon2	摩托车大赛(骑乘版)
sms_hangonaw	摩托车大赛和航天战士(美版)
sms_hangonsh	摩托车大赛和野外狩猎(美版)
sms_hangonshp	摩托车大赛和野外狩猎(美版,工程版)
sg1k_hangon2	摩托车大赛II(日版)
sg1k_hangon2t1	摩托车大赛II(台湾版)
hangly	小精灵(第1套)
hangly2	小精灵(第2套)
hangly3	小精灵(第3套)
pce_haniisky	空中甜心
pce_haniirod	路上甜心
happy6101	欢乐六合一(V101-V100MK,中国版)
happy6	欢乐六合一(V102-V101MK,中国版)
md_harddriv	迅猛赛车(世界版)
hardhead	铁头小子
hardhea2	铁头小子2(v2.0)
hpuncher	拳击决赛(日版)
md_hardbl94	硬派棒球'94(欧版,美版)
md_hardbl95	硬派棒球'95(美版)
md_hardbal3	硬派棒球III(美版)
md_hardball	硬派棒球(美版)
md_hpotter	哈利波特(俄罗斯版)
md_hpotter2	哈利波特与密室(俄罗斯版)
hasamu	霸沙梦(日版)
hthero	冠军杯足球赛(日版)
htchctch	魔法绿兵卫
pce_hatris	帽子方块
hcastlee	恶魔城(版本E)
hcastlek	恶魔城(版本K)
hcastle	恶魔城(版本M)
md_haunting	恐怖鬼影(欧版,美版)
hayaosi1	竞猜抢答王座决定战-问答之王
gg_headbust	机器人竞技场(日版)
hedpanic	头槌小子(版本0117,17/01/2000)
hedpanicf	头槌小子(版本0315,15/03/2000)
md_headon	头球破门(美版)
hbarrel	致命武器(美版)
hbarrelw	致命武器(世界版)
hvymetal	重金属战车(315-5135)
md_heavynov	重装诺瓦(美版)
pce_hvyunit	重装战机
md_hvyunit	重装战机-MegaDrive特别版(日版)
gg_heavyw	重量级拳击赛(日版)
hwchamp	重量拳击
sms_heavyw	重量级拳击赛(欧版)
hwchampjd	重量拳击(日版,FD1094317-0046解密版)
hwchampj	重量拳击(日版,FD1094317-0046)
sg1k_heibaiqi	黑白棋(台湾版)
md_heitao	黑桃2-超级大老二(中文版)
hellfire1	地狱火(1P版)
hellfire1a	地狱火(1P版,较旧版)
hellfire	地狱火(2P版)
hellfire2	地狱火(2P版,第一版)
md_hellfire	地狱火(欧版)
md_hellfirej	地狱火(日版)
md_hellfireu	地狱火(美版)
herbiedk	奥运会的赫比(大金刚转换版)
md_hercules	海格力斯
md_herculs2	海格力斯2
herodku	死亡城堡的英雄(大金刚转换版未加密版)
herodk	死亡城堡的英雄(大金刚转换版)
md_herzog	基地大战(欧版,美版)
md_herzogj	基地大战(日版)
heuksun	围棋死活题黑先白死(韩版)
hexpoola	魔法台球(Senko)
hexpool	魔法台球(Shinkai)
hexa	魔法宝石哈克斯
hexionb	蜂巢俄罗斯方块(盗版,亚洲版AAA)
hexion	蜂巢俄罗斯方块(日版版本JAB)
sms_highsc	高校!奇面组(日版)
md_havocu	公海历险记(美版)
hippodrm	竞技场(美版)
buraiken	必杀无赖拳(日版)
hiticej	暴力冰上曲棍球(日版)
hitice	暴力冰上曲棍球(美版)
md_hitice	暴力冰球(美版)
tg_hitice	冰上对决-视频曲棍球联赛
pce_hitice	冰上对决-视频曲棍球联赛
hoccer	毁灭冰球(第1套)
hoccer2	毁灭冰球(第2套)
sms_hokuto	北斗神拳(日版)
sms_hokutotw	北斗神拳(台湾版)
md_hokuto	北斗神拳-新世纪末救世主传说(日版)
sms_homea	小鬼当家(欧版)
gg_homea	小鬼当家(欧版,美版)
md_homea	小鬼当家(欧版,美版)
md_homeap	小鬼当家(美版,工程版)
md_homea2	小鬼当家2-玩转纽约(美版)
sg1k_homebas	家庭BASIC(日版)
sg1k_homemj1	家庭麻将(日版,v0)
sg1k_homemj	家庭麻将(日版,v1)
honeydol	木偶宝贝
sms_hongkildong	洪吉童(韩版)
sg1k_hongdui	轰炸队(台湾版)
pce_ddanpei	斗球儿弹平
md_ddanpei	斗球儿弹平(日版)
gg_ddanpei	斗球儿弹平(日版)
gg_hook	铁钩船长(欧版)
md_hook	铁钩船长(欧版)
sms_hook	铁钩船长(欧版,工程版)
hookj	铁钩船长(日版)
hooku	铁钩船长(美版)
md_hooku	铁钩船长(美版)
gg_hooku	铁钩船长(美版)
hook	铁钩船长(世界版)
hopprobo	弹簧机器人
hopmappy	跳跳鼠
horizon	飞越地平线
sms_hoshiw	仰望星空...(日版)
hotbubla	狂热泡泡(韩版)
hotbubl	狂热泡泡(韩版,含成人图片)
hotmind	火热智力(艰难时刻硬件)
hotpinbl	性感美女弹珠台
hotshock	惊悚狂热
hotshockb	惊悚狂热(盗版)
hotdogst	热狗风暴-超音速之翼(国际版)
md_huamul	花木兰(中文版)
sg1k_champbilt	花式撞球(台湾版)
md_huanle	欢乐淘气鼠(中文版)
hunchbkg	驼背骑士(小蜜蜂硬件)
hunchbks	驼背骑士(紧急起飞硬件)
hncholms	驼背骑士运动会(紧急起飞硬件)
sg1k_huohuli	火狐狸(台湾版)
sg1k_huojiche	火箭车(台湾版)
gg_hurrican	飓风足球大进击(欧版)
md_hurrican	飓风足球大进击(欧版)
sg1k_hustle	神偷鼠(日版)
sms_hwaran	花郎之剑(韩版)
md_hyokkohj	偶然葫芦岛-目标大统领(日版)
gg_hyokkohj	偶然葫芦岛-葫芦岛大航海(日版)
hcrashc	爆裂赛车(版本C)
hcrash	爆裂赛车(版本D)
md_hyperdnk	强力灌篮(欧版)
md_hyperdnkj	强力灌篮-季后赛版(日版)
md_hyperdnkjp	强力灌篮-季后赛版(日版,工程版)
