// game list translation template for FB Alpha version 0x029737

// codepage=936


8ballact	抢8撞球(大金刚转换版)
aburner2	冲破火网II
md_aburner2	冲破火网II(欧版,美版)
aburner2g	冲破火网II(德国版)
md_aburner2j	冲破火网II(日版)
superbon	超级庞德(Scobra硬件)
aodk	痛快GANGAN进行曲(ADM-008)(ADH-008)
sms_agidooly	小恐龙杜利(韩版)
agress	阿古雷司-导弹大战略
agressb	阿古雷司-导弹大战略(英文盗版)
koshien	呜呼荣光甲子园(日版)
airass	空袭(世界版)
airattck	空袭(第1套)
airattcka	空袭(第2套)
airbustrb	疾风战机-特别袭击队(盗版)
airbustrj	疾风战机-特别袭击队(日版)
md_airbustr	疾风战机-特别袭击队(美版)
airbustr	疾风战机-特别袭击队(世界版)
md_airdiverj	空中霸王(日版)
md_airdiver	空中霸王(美版)
airduelm72	空战双鹰(日版,M72)
airduel	空战双鹰(世界版,M82-A-A+M82-B-A)
agallet	石破天惊(欧版)
agalleth	石破天惊(香港版)
agalletj	石破天惊(日版)
agalletk	石破天惊(韩版)
agallett	石破天惊(台湾版)
agalletu	石破天惊(美版)
md_airmanag	航空霸业-在天空翱翔(日版)
md_airmang2	航空霸业II-航空王(日版)
sms_airresc	空中援救(欧版,巴西版,韩版)
airwolf	飞狼
airwolfa	飞狼(美版)
ajax	飓风直升机
ajaxj	飓风直升机(日版)
akumajoun	恶魔城(日版版本N)
akumajou	恶魔城(日版版本P)
md_akumajo	恶魔城-吸血鬼猎人(日版)
md_aladdin2	阿拉丁II
cv_alcazar	阿尔卡扎-遗忘堡垒
alcon	爱尔康战机
sgx_aldynes	霹雳风云
sms_aleste	阿雷斯特战机(日版)
sms_alesteiigg2sms	阿雷斯特战机IIGG(SMS转换版)
md_alexkiddk	亚历克斯-天空魔城(韩版)
sms_alexhitw	亚历克斯-高科技世界(欧版,美版)
sms_alexlost	亚历克斯-失落的星星(世界版)
sms_alexbmx	亚历克斯自行车越野选拔赛(日版)
sms_alexkiddb	亚历克斯在奇异世界(巴西版,v1,海盗版)
sms_alexkidd1	亚历克斯在奇异世界(欧版,美版,v0)
sms_alexkidd	亚历克斯在奇异世界(欧版,美版,v1)
gg_alexkidd	亚历克斯在奇异世界(台湾版,SMS模式)
sms_akrr102e	亚历克斯之轰鸣的拉达仙(版本1.02e)
sms_alexshin	亚历克斯在忍者世界(欧版,美版,巴西版)
md_alexkidd1	亚历克斯在魔城(欧版)
md_alexkidd	亚历克斯在魔城(欧版,修正版A)
md_alexkiddj	亚历克斯在魔城(日版)
md_alexkiddu	亚历克斯在魔城(美版)
sms_alexkiddj	亚历克斯在奇异世界(日版)
alexkidd1	亚历克斯-失落的星星(第1套,FD1089A317-未知)
alexkidd	亚历克斯-失落的星星(第2套,未保护版)
sms_alf	家有阿福(美版,巴西版)
alibaba	阿里巴巴与四十大盗
sms_alibaba	阿里巴巴与四十大盗(韩版)
sms_alien3	异型3(欧版,巴西版)
gg_alien3	异形3(欧版,美版)
gg_alien3j	异形3(日版)
alienchac	星宿会战(中国版)
aliencha	星宿会战(世界版)
pce_acrush	异形弹珠台
tg_acrush	异形弹珠台
alinvade	外星侵略者
aliensec	异形区域
md_aliensol	外星战士(欧版)
md_aliensolj	外星战士(日版)
sms_astorm	异形风暴(欧版,巴西版)
astormjd	异形风暴(第1套,日版修正版B,2人版,FD1094317-0146解密版)
astormj	异形风暴(第1套,日版修正版B,2人版,FD1094317-0146)
astormud	异形风暴(第2套,美版,3人版,FD1094317-0147解密版)
astormu	异形风暴(第2套,美版,3人版,FD1094317-0147)
astorm3d	异形风暴(第3套,世界版,3人版,FD1094317-0148解密版)
astorm3	异形风暴(第3套,世界版,3人版,FD1094317-0148)
astorm	异形风暴(第4套,世界版,2人版,FD1094317-0154)
md_astorm	异形风暴(世界版)
gg_aliensyn	异形入侵(欧版,美版)
sms_aliensyn	异形入侵(欧版,美版,巴西版)
sms_aliensynj	异形入侵(日版)
gg_aliensynj	异形入侵(日版)
sms_aliensynp	异形入侵(工程版)
aliensynjo	异形入侵(第1套,日版,旧版,系统16A,FD1089A317-0033)
aliensyn2	异形入侵(第2套,系统16A,FD1089A317-0033)
aliensyn3	异形入侵(第3套,系统16B,FD1089A317-0033)
aliensyn	异形入侵(第4套,系统16B,未保护版)
aliensyn5	异形入侵(第5套,系统16A,FD1089B317-0037)
aliensynj	异形入侵(第6套,日版,新版,系统16B,FD1089A317-0033)
aliensyn7	异形入侵(第7套,系统16B,MC-8123B317-00xx)
avspa	异形对铁血战士(940520亚洲版)
avspd	异形对铁血战士(940520欧版凤凰版)
avsp	异形对铁血战士(940520欧版)
avsph	异形对铁血战士(940520西班牙版)
avspj	异形对铁血战士(940520日版)
avspu	异形对铁血战士(940520美版)
md_alien3a	异形3(欧版,美版)
md_alien3	异形3(欧版,美版,修正版A)
aliensa	异形(亚洲版)
aliensj	异形(日版第1套)
aliensj2	异形(日版第2套)
aliensu	异形(美版)
aliens	异形(世界版第1套)
aliens2	异形(世界版第2套)
aliens3	异形(世界版第3套)
md_alisiad	龙骑士(欧版)
md_alisiadj	龙骑士(日版)
md_alisiadu	龙骑士(美版)
alpham2	阿尔法任务II-最后的守护神(NGM-007)(NGH-007)
alpham2p	阿尔法任务II-最后的守护神(工程版)
cv_alphazoo	字母动物园
altbeastbl	兽王记(Datsu盗版)
md_altbeast	兽王记(欧版,美版)
sms_altbeast	兽王记(欧版,美版,巴西版)
altbeast2	兽王记(第2套,MC-8123B317-0066)
altbeast4	兽王记(第4套,MC-8123B317-0066)
altbeast5d	兽王记(第5套,FD1094317-0069解密版)
altbeast5	兽王记(第5套,FD1094317-0069)
altbeast6	兽王记(第6套,8751317-0076)
altbeast	兽王记(第8套,8751317-0078)
cv_amazing	无敌弹跳人
ambush	阿米巴契战机
ambushh	阿米巴契战机(修改版?)
ambushj	阿米巴契战机(日版)
ambushv	阿米巴契战机(VoltElecco-ltd)
anteaterg	食蚁兽(德国版)
sms_ameribb	美国棒球(欧版,巴西版)
md_amerglad	美国夺标(美版)
sms_ameripf	美式职业足球(欧版)
amidar	占地金刚
amidarb	占地金刚(盗版)
amidar1	占地金刚(较旧版)
amidaro	占地金刚(Olympia)
amidars	占地金刚(紧急起飞硬件)
amidaru	占地金刚(Stern)
amigo	阿米戈
md_agassi	阿加西网球(欧版)
sms_agassi	阿加西网球(欧版,巴西版)
gg_agassi	阿加西网球(美版)
md_agassiu	阿加西网球(美版)
md_agassiup	阿加西网球(美版,工程版)
androdun	勇者之击(NGM-049)(NGH-049)
angelkds	天使奇妙冒险(日版)
md_animania	三只笨鼠(欧版)
md_animaniau	三只笨鼠(美版)
pce_ankoku	暗黑传说
sms_anmitsu	甜甜小公主(日版)
md_anotherw	奇异世界(欧版)
cv_antarct	南极大冒险
anteater	食蚁兽
pce_aoiblink	青色杜马
md_genchohi	苍狼与白鹿-成吉思汗(日版)
aponow	拯救
pce_appgateb	完成了!门球
md_aqrenk	阿Q连环炮(中文版)
aquajackj	战斗快艇-杰克小子(日版)
aquajacku	战斗快艇-杰克小子(美版)
aquajack	战斗快艇-杰克小子(世界版)
aquarium	水族馆(日版)
cv_aquatack	水面袭击
cv_aquatacka	水面袭击(替换版)
arabian	阿拉丁
arabiana	阿拉丁(Atari)
aracnis	魔蝎(魔蝎在月球登陆艇硬件上的盗版)
arbalest	劲弩战机
md_arcadecl	街机经典合集(欧版,美版)
gg_arcadecl	街机经典合集(美版)
sms_arcadesh	街机打砖块(欧版)
md_arcadegh	街机超级精选辑(欧版)
arcadian	阿卡迪亚战机(NMK)
md_archrivl	篮球对抗赛(欧版,美版)
gg_archrivl	篮球对抗赛(美版)
md_arcusj	阿鲁卡冒险(日版)
md_arcus	阿鲁卡冒险(美版)
area88r	战区88(日版重发售版)
area88	战区88(日版)
gg_arena	阿瑞娜(欧版,美版)
lwingsj	翼人(日版)
sms_argosnj	阿尔戈斯十字剑(日版)
sms_argosnj1	阿尔戈斯十字剑(日版,海盗版?)
rygarj	阿格斯战士(日版)
arkarea	宇宙飞艇
arkgcbl	打砖块(打砖块硬件盗版)
arkanoidjbl	打砖块(含MCU盗版第1套)
arkanoidjbl2	打砖块(含MCU盗版第2套)
arkanoidjbla	打砖块(含MCU盗版,替换版)
ark1ball	打砖块(含MCU盗版,较难)
ark1balla	打砖块(含MCU盗版,较难,替换版)
arkangc	打砖块(游戏公司盗版,第1套)
arkangc2	打砖块(游戏公司盗版,第2套)
arkanoidj	打砖块(日版)
arkanoidja	打砖块(日版,较旧修正版)
arkanoidjb	打砖块(日版,最旧修正版)
arkatayt	打砖块(Tayto盗版)
arktayt2	打砖块(Tayto盗版,较难)
arkanoidu	打砖块(美版)
arkanoiduo	打砖块(美版,最旧修正版)
arkanoid	打砖块(世界版,最旧修正版)
arknoid2b	打砖块-DOH复仇(日版盗版)
arknoid2j	打砖块-DOH复仇(日版)
arknoid2u	打砖块-DOH复仇(美版)
arknoid2	打砖块-DOH复仇(世界版)
gg_arliel	阿丽尔-水晶传说(日版)
armwrest	扳手腕
armedf	武装编队
armedff	武装编队(Fillmore授权)
pce_armedf	武装编队F
batriderc	蝙蝠骑警-装甲军团(中国版)(FriFeb131998)
batrider	蝙蝠骑警-装甲军团(欧版)(FriFeb131998)
batriderk	蝙蝠骑警-装甲军团(韩版)(FriFeb131998)
batrideru	蝙蝠骑警-装甲军团(美版)(FriFeb131998)
batriderja	蝙蝠骑警-装甲军团(日版,A版本)(MonDec221997)
batridert	蝙蝠骑警-装甲军团(台湾版,A版本)(MonDec221997)
batriderj	蝙蝠骑警-装甲军团(日版,B版本)(FriFeb131998)
armorcar	装甲车(第1套)
armorcar2	装甲车(第2套)
armwarar1	机甲勇士(940920亚洲版)
armwaru1	机甲勇士(940920美版)
armwar1d	机甲勇士(941011欧版凤凰版)
armwarr1	机甲勇士(941011欧版)
armwara	机甲勇士(941024亚洲版)
armwar	机甲勇士(941024欧版)
armwaru	机甲勇士(941024美版)
md_arnoldp	阿诺德·帕默高尔夫锦标赛(欧版,美版)
md_arrowp	宇宙战机(美版,工程版)
md_arrow	宇宙战机(世界版)
md_artalive	涂鸦大师(世界版)
md_aof	龙虎之拳(欧版)
md_aofp	龙虎之拳(工程版,19940711)
md_aofu	龙虎之拳(美版)
aof	龙虎之拳(NGM-044)(NGH-044)
aof2a	龙虎之拳2(NGH-056)
aof2	龙虎之拳2(NGM-056)
aof3k	龙虎之拳3-斗士之路(韩版)
aof3	龙虎之拳3-斗士之路
md_arttool	世嘉艺术工具
cv_artduel	火炮决斗
pce_arttool	艺术工具
sms_tvcolos	热狗大冒险(巴西版)
ashnojoe	明日之丈(日版)
sms_ashura	阿修罗(日版)
ashuraj	阿修罗风暴(日版)
ashurau	阿修罗风暴(美版)
ashura	阿修罗风暴(世界版)
md_asscreed	刺客信条(俄罗斯版)
sms_assaultc1	袭击城市(欧版)
sms_assaultc	袭击城市(欧版,巴西版,光枪版)
md_leynos	机械战士(日版)
sms_asterix1	阿斯泰利克斯历险记(欧版,巴西版,v0)
sms_asterix	阿斯泰利克斯历险记(欧版,v1)
asterixaad	阿斯泰利克斯历险记(版本AAD)
asterixeaa	阿斯泰利克斯历险记(版本EAA)
asterixeac	阿斯泰利克斯历险记(版本EAC)
asterix	阿斯泰利克斯历险记(版本EAD)
asterixj	阿斯泰利克斯历险记(版本JAD)
gg_astergre	阿斯泰利克斯之非凡营救(欧版)
md_astergre	阿斯泰利克斯之非凡营救(欧版)
sms_astergre	阿斯泰利克斯之非凡营救(欧版,巴西版)
gg_astergrep3	阿斯泰利克斯之非凡营救(工程版,19940125)
gg_astergrep5	阿斯泰利克斯之非凡营救(工程版,19940216)
gg_astergrep4	阿斯泰利克斯之非凡营救(工程版,19940222)
gg_astergrep2	阿斯泰利克斯之非凡营救(工程版,19940313)
gg_astergrep1	阿斯泰利克斯之非凡营救(工程版,19940315)
md_astergreu	阿斯泰利克斯之非凡营救(美版)
gg_astergreu	阿斯泰利克斯之非凡营救(美版)
md_asterpg	阿斯泰利克斯之上帝之力(欧版)
md_asterpgp	阿斯泰利克斯之上帝之力(欧版,工程版)
gg_astermis	阿斯泰利克斯之秘密任务(欧版)
sms_astermis	阿斯泰利克斯之秘密任务(欧版)
astrians	阿斯特瑞斯(蜂群的克隆版)
sms_astrofl	航天闪击(日版,MyCard)
sms_astrofl1	航天闪击(日版,海盗版)
sms_astrow	航天战士(日版,美版,巴西版)
sms_astropit	航天战士和陷阱小子(欧版)
asukaj	飞鸟飞鸟(日版)
asuka	飞鸟飞鸟(世界版)
asurabld	血剑王朝-魔刃降临(日版)
asurabusa	血剑王朝-永恒战士(日版)(ARCADIA检查制造)
asurabus	血剑王朝-永恒战士(日版)
asideral	恒星攻击(宇宙战争的西班牙盗版)
atehate	雅典娜问答
acitya	大西洋城行动
atomboya	原子男孩(修正版A)
atomboy	原子男孩(修正版B)
atomicp	原子方块(韩版)
atompunk	炸弹人(美版)
robokid	原子机械童
robokidj	原子机械童(日版,第1套)
robokidj2	原子机械童(日版,第2套)
md_atomroboj	原子机械童(日版)
md_atomrobo	原子机械童(美版)
pce_atomrobo	原子机械童特别版
md_atomrun	原子战士(欧版)
md_atomrunu	原子战士(美版)
md_atptour	职业网球巡回赛(欧版)
md_atptourp7	职业网球巡回赛(工程版,19940509)
md_atptourp6	职业网球巡回赛(工程版,19940719)
md_atptourp5	职业网球巡回赛(工程版,19940723)
md_atptourp4	职业网球巡回赛(工程版,19940802)
md_atptourp3	职业网球巡回赛(工程版,19940805)
md_atptourp2	职业网球巡回赛(工程版,19940808)
md_atptourp1	职业网球巡回赛(工程版,19940908)
md_atptouru	职业网球巡回赛(美版)
aurailjd	光环坦克(第1套,日版,FD1089A317-0167解密版)
aurailj	光环坦克(第1套,日版,FD1089A317-0167)
aurail1d	光环坦克(第2套,世界版,FD1089B317-0168解密版)
